OSCNet Image Quality Evaluation
Date: 2025-03-12 17:22:40
Results Directory: /home/mcosta/PycharmProjects/OSCNet/OSCNet/save_results

Filename                         PSNR        SSIM
--------------------------------------------------
1739.png                        42.65      0.9879
174.png                         44.54      0.9931
1740.png                        45.33      0.9898
1741.png                        41.77      0.9880
1742.png                        34.08      0.9768
1743.png                        30.60      0.9784
1744.png                        42.23      0.9915
1745.png                        44.01      0.9925
1746.png                        46.14      0.9931
1747.png                        39.50      0.9847
1748.png                        33.93      0.9694
1749.png                        43.11      0.9907
175.png                         43.65      0.9915
1750.png                        41.74      0.9896
1751.png                        40.34      0.9886
1752.png                        33.89      0.9766
1753.png                        33.80      0.9755
1754.png                        45.81      0.9921
1755.png                        37.46      0.9911
1756.png                        40.97      0.9926
1757.png                        37.00      0.9838
1758.png                        35.25      0.9692
1759.png                        42.33      0.9910
176.png                         48.74      0.9935
1760.png                        43.18      0.9904
1761.png                        33.06      0.9908
1762.png                        35.29      0.9812
1763.png                        35.69      0.9866
1764.png                        47.45      0.9944
1765.png                        42.95      0.9939
1766.png                        49.78      0.9955
1767.png                        41.62      0.9893
1768.png                        39.76      0.9830
1769.png                        43.92      0.9926
177.png                         40.21      0.9863
1770.png                        44.21      0.9937
1771.png                        39.59      0.9901
1772.png                        33.68      0.9797
1773.png                        28.56      0.9802
1774.png                        47.70      0.9938
1775.png                        44.00      0.9929
1776.png                        48.13      0.9932
1777.png                        40.77      0.9892
1778.png                        39.32      0.9852
1779.png                        47.52      0.9925
178.png                         36.94      0.9788
1780.png                        47.82      0.9926
1781.png                        28.28      0.9853
1782.png                        34.32      0.9802
1783.png                        30.02      0.9836
1784.png                        47.37      0.9936
1785.png                        44.18      0.9935
1786.png                        48.52      0.9942
1787.png                        41.42      0.9891
1788.png                        40.05      0.9830
1789.png                        46.39      0.9925
179.png                         45.69      0.9918
1790.png                        46.07      0.9927
1791.png                        41.63      0.9910
1792.png                        34.86      0.9815
1793.png                        35.74      0.9848
1794.png                        45.37      0.9939
1795.png                        43.06      0.9930
1796.png                        46.56      0.9950
1797.png                        42.12      0.9880
1798.png                        38.11      0.9789
1799.png                        41.78      0.9914
18.png                          39.47      0.9763
180.png                         45.75      0.9919
1800.png                        43.40      0.9909
1801.png                        43.11      0.9928
1802.png                        35.69      0.9819
